timestamp,move1,move2,winner
Ctest tutorial
2024-02-03T15:43:14.974Z,paper,paper,Draw
2024-02-03T15:43:34.749Z,rock,paper,p2
2024-02-03T15:43:52.501Z,scissors,rock,p2
2024-02-03T15:44:08.777Z,scissors,scissors,Draw
2024-02-03T15:44:25.923Z,paper,rock,p1
2024-02-03T15:44:44.256Z,rock,rock,Draw
2024-02-03T15:45:05.387Z,paper,rock,p1
2024-02-03T15:45:20.757Z,scissors,rock,p2
2024-02-03T15:45:35.676Z,rock,scissors,p1
2024-02-03T15:45:51.224Z,paper,scissors,p2
2024-02-03T15:46:06.917Z,scissors,paper,p1
C12 - not blind
2024-02-03T15:46:38.016Z,scissors,scissors,Draw
2024-02-03T15:46:54.396Z,rock,scissors,p1
2024-02-03T15:47:09.337Z,rock,invalid,Invalid move
2024-02-03T15:47:25.699Z,paper,scissors,p2
2024-02-03T15:47:40.541Z,scissors,paper,p1
2024-02-03T15:47:57.116Z,rock,rock,Draw
2024-02-03T15:48:14.260Z,rock,rock,Draw
2024-02-03T15:48:30.152Z,paper,rock,p1
2024-02-03T15:48:46.039Z,rock,rock,Draw
2024-02-03T15:49:01.983Z,paper,invalid,Invalid move
2024-02-03T15:49:18.846Z,rock,paper,p2
2024-02-03T15:49:35.037Z,rock,scissors,p1
2024-02-03T15:49:49.307Z,scissors,scissors,Draw
2024-02-03T15:50:05.754Z,paper,rock,p1
C13 - tutorial
2024-02-03T16:01:59.837Z,rock,scissors,p1
2024-02-03T16:02:23.422Z,scissors,rock,p2
2024-02-03T16:02:41.884Z,paper,paper,Draw
C13 - not blind
2024-02-03T16:04:26.694Z,rock,scissors,p1
2024-02-03T16:04:42.452Z,scissors,scissors,Draw
2024-02-03T16:05:00.546Z,paper,rock,p1
2024-02-03T16:05:17.315Z,rock,rock,Draw
2024-02-03T16:05:35.270Z,paper,rock,p1
2024-02-03T16:05:53.199Z,scissors,rock,p2
2024-02-03T16:06:09.876Z,rock,invalid,Invalid move
2024-02-03T16:06:38.351Z,scissors,rock,p2
2024-02-03T16:07:25.447Z,rock,rock,Draw
2024-02-03T16:07:44.058Z,scissors,scissors,Draw
2024-02-03T16:08:04.430Z,paper,rock,p1
2024-02-03T16:08:21.418Z,scissors,paper,p1
2024-02-03T16:08:40.283Z,paper,scissors,p2
2024-02-03T16:08:55.705Z,rock,rock,Draw
2024-02-03T16:09:15.215Z,scissors,scissors,Draw
2024-02-03T16:09:33.007Z,rock,rock,Draw
C13 - blind
2024-02-03T16:10:36.928Z,rock,scissors,p1
2024-02-03T16:10:57.202Z,scissors,paper,p1
2024-02-03T16:11:13.234Z,rock,paper,p2
2024-02-03T16:11:30.144Z,scissors,rock,p2
2024-02-03T16:11:46.270Z,rock,scissors,p1
2024-02-03T16:12:01.685Z,paper,rock,p1
2024-02-03T16:12:17.125Z,rock,rock,Draw
2024-02-03T16:12:33.712Z,scissors,paper,p1
2024-02-03T16:12:49.728Z,rock,scissors,p1
2024-02-03T16:13:06.946Z,scissors,paper,p1
2024-02-03T16:13:22.796Z,rock,paper,p2
2024-02-03T16:13:39.537Z,rock,rock,Draw
2024-02-03T16:13:57.802Z,paper,scissors,p2
2024-02-03T16:14:12.970Z,scissors,rock,p2
2024-02-03T16:14:37.363Z,scissors,paper,p1
C14 - tutorial
2024-02-03T16:20:28.138Z,rock,scissors,p1
2024-02-03T16:20:58.541Z,scissors,scissors,Draw
2024-02-03T16:21:21.228Z,scissors,rock,p2
C14 - not blind
2024-02-03T16:22:16.446Z,paper,paper,Draw
2024-02-03T16:22:34.420Z,paper,rock,p1
2024-02-03T16:22:49.093Z,rock,scissors,p1
2024-02-03T16:23:03.364Z,scissors,paper,p1
2024-02-03T16:23:18.146Z,scissors,scissors,Draw
2024-02-03T16:23:35.304Z,paper,rock,p1
2024-02-03T16:23:49.605Z,invalid,scissors,Invalid move
2024-02-03T16:24:14.694Z,paper,paper,Draw
2024-02-03T16:24:31.733Z,rock,scissors,p1
2024-02-03T16:24:47.009Z,scissors,paper,p1
2024-02-03T16:25:02.190Z,rock,rock,Draw
2024-02-03T16:25:19.381Z,paper,rock,p1
2024-02-03T16:25:33.650Z,scissors,scissors,Draw
C14 - blind
2024-02-03T16:28:25.791Z,rock,rock,Draw
2024-02-03T16:28:44.251Z,scissors,scissors,Draw
2024-02-03T16:29:04.645Z,scissors,scissors,Draw
2024-02-03T16:29:23.904Z,rock,rock,Draw
2024-02-03T16:29:40.487Z,scissors,scissors,Draw
2024-02-03T16:29:56.785Z,paper,rock,p1
2024-02-03T16:30:12.124Z,scissors,scissors,Draw
2024-02-03T16:30:28.727Z,rock,paper,p2
2024-02-03T16:30:46.311Z,scissors,rock,p2
2024-02-03T16:31:02.009Z,rock,paper,p2
2024-02-03T16:31:17.968Z,rock,rock,Draw
2024-02-03T16:31:35.107Z,scissors,paper,p1
2024-02-03T16:31:51.166Z,rock,rock,Draw
C15 - tutorial
2024-02-03T16:43:41.916Z,rock,scissors,p1
2024-02-03T16:44:13.157Z,scissors,rock,p2
2024-02-03T16:44:32.364Z,paper,paper,Draw
C15 - blind
2024-02-03T16:46:04.850Z,scissors,scissors,Draw
2024-02-03T16:46:28.253Z,rock,paper,p2
2024-02-03T16:47:00.258Z,paper,scissors,p2
2024-02-03T16:47:17.168Z,scissors,invalid,Invalid move
2024-02-03T16:47:39.879Z,scissors,paper,p1
2024-02-03T16:47:57.727Z,rock,paper,p2
2024-02-03T16:48:13.720Z,paper,rock,p1
2024-02-03T16:48:36.509Z,scissors,scissors,Draw
2024-02-03T16:48:56.355Z,scissors,rock,p2
2024-02-03T16:49:14.480Z,rock,paper,p2
2024-02-03T16:49:31.784Z,paper,rock,p1
2024-02-03T16:49:48.203Z,rock,scissors,p1
2024-02-03T16:50:04.815Z,paper,rock,p1
C15 - not blind
2024-02-03T16:50:57.694Z,scissors,scissors,Draw
